,user,text,favorite_count,retweet_count,created_at
57,elonmusk,@alifarhat79 🤣🤣,3188,134,2023-04-16 15:52:58+00:00
58,elonmusk,Launch attempt tomorrow https://t.co/czFsQ53Xsa,778591,53960,2023-04-16 15:52:21+00:00
59,elonmusk,@TRHLofficial Absolutely,90841,6464,2023-04-16 15:47:32+00:00
60,elonmusk,@alifarhat79 I subscribed,5874,194,2023-04-16 15:47:02+00:00
61,elonmusk,@stillgray It’s felt like that for a long time,48731,3442,2023-04-16 15:28:10+00:00
62,elonmusk,"@DrLoupis Pronouns are virtue-signaling, so inevitably, as with all virtue-signaling, they will be used as a shield by bad humans",34895,6638,2023-04-16 15:08:17+00:00
63,elonmusk,@dailystoic I mean … one does control what happens a little,23588,1264,2023-04-16 14:40:01+00:00
64,elonmusk,@johnkrausphotos I subscribed!,17372,621,2023-04-16 14:37:11+00:00
65,elonmusk,@Apoctoz Send a BBC boss with 3 mini bosses,6554,367,2023-04-16 14:21:59+00:00
66,elonmusk,"@Apoctoz Next time, they should send a better NPC!",144768,7710,2023-04-16 14:20:17+00:00
67,elonmusk,@ShitpostGate Makes sense,49598,1475,2023-04-16 14:14:38+00:00
68,elonmusk,@cb_doge Yes,7138,420,2023-04-16 14:10:43+00:00
69,elonmusk,"@mckaywrigley I saw it happening from well before GPT-1, which is why I tried to warn the public for years.

The only one on one meeting I ever had with Obama as President I used not to promote Tesla or SpaceX, but to encourage  AI regulation.",78169,9130,2023-04-16 14:04:40+00:00
70,elonmusk,"@thysroes @AlecStapp Ja, “van”, mijn verontschuldigingen 🤭",962,75,2023-04-16 12:48:52+00:00
71,elonmusk,@TrungTPhan I hope this is true,24283,1146,2023-04-16 12:44:50+00:00
72,elonmusk,"@AlecStapp Germ theory took a shockingly long time to be accepted! The entire medical establishment was against it for centuries.

Von Leeuwenhoek's 1677 ‘letter on the protozoa’ was verified by The Royal Society.

https://t.co/ESLAcyFiRR",33364,4781,2023-04-16 12:11:55+00:00
73,elonmusk,@Simeon_Cps Fate hates hypocrisy,4811,507,2023-04-16 12:00:29+00:00
74,elonmusk,@paulg @cremieuxrecueil My identical twins scored within 1 point of each other on tests taken on different days,23677,1396,2023-04-16 11:57:09+00:00
75,elonmusk,@ShitpostGate 🤣,22917,801,2023-04-15 21:43:39+00:00
76,elonmusk,@KnowledgeArchiv Yes,2244,95,2023-04-15 21:38:44+00:00
